#Dev nodeId x y z SF DR ConsEnergy RemEnergy 
ED 0 -1884.94 -581.605 15.0813 12 0 0.222384 5.26765 
ED 1 -841.919 -1344.41 22.3241 12 0 0.222384 5.26765 
ED 2 1416 -970.192 5.09494 12 0 0.222384 5.26765 
ED 3 309.771 847.298 14.4115 12 0 0.222384 5.26765 
ED 4 -485.478 -1742.69 16.482 12 0 0.222384 5.26765 
ED 5 1445.29 -1557.64 9.15556 12 0 0.222384 5.26765 
ED 6 105.387 -537.575 25.5074 12 0 0.222384 5.26765 
ED 7 -1955.72 390.852 33.7976 12 0 0.222384 5.26765 
ED 8 -240.927 -708.698 33.6379 11 1 0.116244 5.37378 
ED 9 -1961.47 -502.357 10.7574 12 0 0.222384 5.26765 
ED 10 -169.181 2304.35 27.5597 12 0 0.222384 5.26765 
ED 11 -1786.91 398.116 33.2523 12 0 0.222384 5.26765 
ED 12 -1165.12 1728.37 16.5031 12 0 0.222384 5.26765 
ED 13 -291.408 1682.13 9.29781 12 0 0.222384 5.26765 
ED 14 1736.37 1538.11 26.6973 12 0 0.222384 5.26765 
ED 15 -1150.23 1267.21 6.04743 12 0 0.222384 5.26765 
ED 16 -868.595 -1286.55 23.3364 12 0 0.222384 5.26765 
ED 17 1651.82 1857.12 17.9865 12 0 0.222384 5.26765 
ED 18 -267.999 1173.85 7.14692 10 2 0.0631744 5.42685 
ED 19 1758.63 1316.74 31.4568 12 0 0.222384 5.26765 
ED 20 1736.4 -532.528 26.0677 12 0 0.222384 5.26765 
ED 21 809.141 2367.1 35.4058 9 3 0.0399358 5.45009 
ED 22 744.68 576.535 10.0963 12 0 0.222384 5.26765 
ED 23 108.671 -1676.75 13.3089 12 0 0.222384 5.26765 
ED 24 819.63 1736.76 35.788 12 0 0.222384 5.26765 
ED 25 -1782.14 -1365.52 37.8443 12 0 0.222384 5.26765 
ED 26 -743.786 1259.68 25.3558 12 0 0.222384 5.26765 
ED 27 -1375.98 353.824 36.8623 7 5 0.0183865 5.47164 
ED 28 -352.46 2401.59 35.4566 12 0 0.222384 5.26765 
ED 29 837.866 -1069.8 23.065 7 5 0.0183865 5.47164 
ED 30 -1792.83 -1575.68 11.8224 12 0 0.222384 5.26765 
ED 31 -1152.99 -248.855 33.7586 7 5 0.0183865 5.47164 
ED 32 1857.65 2284.33 17.0968 12 0 0.222384 5.26765 
ED 33 -1296.04 -1386.3 17.4602 12 0 0.222384 5.26765 
ED 34 211.988 -1712.05 27.0456 12 0 0.222384 5.26765 
ED 35 -1095.33 1504.39 36.1792 12 0 0.222384 5.26765 
ED 36 -54.6821 -864.337 8.70215 12 0 0.222384 5.26765 
ED 37 651.751 1381.59 2.88177 12 0 0.222384 5.26765 
ED 38 -1356.83 978.566 37.2722 12 0 0.222384 5.26765 
ED 39 -498.396 -591.282 23.4737 12 0 0.222384 5.26765 
ED 40 1813.88 199.441 17.5116 12 0 0.222384 5.26765 
ED 41 -282.072 1387.89 20.7558 12 0 0.222384 5.26765 
ED 42 -797.835 -702.703 35.0413 7 5 0.0183865 5.47164 
ED 43 -291.469 2317.66 17.7274 12 0 0.222384 5.26765 
ED 44 -1085.29 895.603 1.01338 12 0 0.222384 5.26765 
ED 45 -996.59 -280.605 24.5239 12 0 0.222384 5.26765 
ED 46 1412.37 264.033 24.4162 12 0 0.222384 5.26765 
ED 47 1259.01 1129.27 34.8391 12 0 0.222384 5.26765 
ED 48 16.5521 1117.76 23.3024 7 5 0.0183865 5.47164 
ED 49 1439.31 2422.07 5.69241 12 0 0.222384 5.26765 
ED 50 1356.29 1383.15 10.1095 12 0 0.222384 5.26765 
ED 51 -1357.65 1537.43 18.5974 12 0 0.222384 5.26765 
ED 52 -50.3312 459.985 21.5208 12 0 0.222384 5.26765 
ED 53 -455.964 1241.74 20.7103 12 0 0.222384 5.26765 
ED 54 -960.065 -367.104 23.3851 12 0 0.222384 5.26765 
ED 55 -1843.56 345.027 14.2632 12 0 0.222384 5.26765 
ED 56 1128.49 1660 30.774 12 0 0.222384 5.26765 
ED 57 -1843.72 -1197.75 3.14808 12 0 0.222384 5.26765 
ED 58 -143.537 -1814.82 22.1787 12 0 0.222384 5.26765 
ED 59 -896.042 2345.01 24.9934 12 0 0.222384 5.26765 
ED 60 23.9198 -1479.17 34.3591 11 1 0.116244 5.37378 
ED 61 -1868.3 -1795.74 10.4216 12 0 0.222384 5.26765 
ED 62 37.2538 2091.06 16.0429 12 0 0.222384 5.26765 
ED 63 -1346.31 -1849.6 31.5151 12 0 0.222384 5.26765 
ED 64 -1798.1 2448.83 16.7864 12 0 0.222384 5.26765 
ED 65 1333.43 -507.034 37.2711 9 3 0.0399358 5.45009 
ED 66 513.459 2388.36 4.05542 12 0 0.222384 5.26765 
ED 67 -1364.37 1273.68 20.6985 12 0 0.222384 5.26765 
ED 68 1103.92 1520.86 19.229 12 0 0.222384 5.26765 
ED 69 -988.736 1.90009 17.7526 12 0 0.222384 5.26765 
ED 70 838.975 967.99 25.2658 12 0 0.222384 5.26765 
ED 71 -1772.2 572.058 30.4696 12 0 0.222384 5.26765 
ED 72 932.986 -803.994 34.8472 7 5 0.0183865 5.47164 
ED 73 621.444 -1469.16 36.2352 7 5 0.0183865 5.47164 
ED 74 -1474.19 636.404 16.339 12 0 0.222384 5.26765 
ED 75 -582.724 -1378.3 9.70132 12 0 0.222384 5.26765 
ED 76 553.066 51.76 35.029 12 0 0.222384 5.26765 
ED 77 1555.23 -355.187 24.5873 12 0 0.222384 5.26765 
ED 78 412.824 1329.41 37.9281 7 5 0.0183865 5.47164 
ED 79 -662.066 1687.56 31.5455 10 2 0.0631744 5.42685 
ED 80 -982.325 -1358.36 13.1759 12 0 0.222384 5.26765 
ED 81 1127.17 2410.76 17.16 12 0 0.222384 5.26765 
ED 82 1022.9 1417.21 0.529367 12 0 0.222384 5.26765 
ED 83 -542.367 -1117.7 28.0609 7 5 0.0183865 5.47164 
ED 84 515.067 1943.63 35.6158 12 0 0.222384 5.26765 
ED 85 -1670.32 66.7601 11.1265 12 0 0.222384 5.26765 
ED 86 1727.88 2317.15 31.5475 12 0 0.222384 5.26765 
ED 87 26.2112 -1392.71 7.89545 12 0 0.222384 5.26765 
ED 88 1337.31 -823.419 15.6397 12 0 0.222384 5.26765 
ED 89 1506.46 -1147.05 15.7963 12 0 0.222384 5.26765 
ED 90 908.611 951.151 31.5641 12 0 0.222384 5.26765 
ED 91 1926.59 1740.87 19.6109 12 0 0.222384 5.26765 
ED 92 -681.082 -488.221 23.5499 12 0 0.222384 5.26765 
