#nodeId VoltageV totalTxS totalRxS totalStandbyS totalSleepS txCurrentA rxCurrentA standbyCurrentA sleepCurrentA txConsumedEnergy rxConsumedEnergy standbyConsumedEnergy sleepConsumedEnergy totalConsumedEnergy initialEnergyJ remainingEnergyJ SF 
0 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
1 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
2 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
3 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
4 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
5 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
6 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
7 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
8 3.7 0.659456 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.106139 0 0.0001036 0.010001 0.116244 5.5 5.37378 11 
9 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
10 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
11 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
12 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
13 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
14 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
15 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
16 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
17 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
